Geneid	ck18FL1	ck18FL2	ck18FL3	ck18FL4	ck18HL1	ck18HL2	ck18HL3	ck18HL4	ck18K1	ck18k2	ck18K3	ck18K4
gene21623	923	971	490	647	794	859	671	382	708	1247	661	2745
gene0	182	182	131	293	130	126	191	134	83	210	168	1037
gene1	3	0	1	2	1	3	3	1	5	3	3	12
gene2	3602	2775	1800	2823	2839	2083	2658	1539	2583	3676	3083	12651
gene3	25	28	26	26	19	24	52	27	16	10	18	77
gene4	0	0	1	0	0	0	0	0	0	0	0	0
gene5	560	393	233	365	466	367	342	232	254	426	275	1257
gene6	579	434	271	415	507	374	482	245	227	480	315	1314
gene7	3	4	1	1	5	5	1	0	2	4	1	8
gene8	1081	917	521	919	892	791	894	547	595	977	686	3313
gene9	14	0	1	1	0	0	1	0	0	1	0	2
gene10	11	9	10	11	6	6	5	3	6	5	6	18
gene11	325	264	197	257	175	142	246	104	174	301	219	977
gene12	0	0	0	0	0	0	0	1	0	0	0	0
gene13	195	119	70	124	88	82	114	38	98	117	97	460
gene14	0	0	0	0	0	0	0	0	0	0	0	1
gene15	813	725	411	603	632	625	745	370	433	916	590	2458
gene16	1194	818	641	934	941	672	1000	590	626	856	844	3189
gene17	1420	914	687	1039	1145	714	1008	637	674	901	776	3746
gene18	0	0	0	0	0	0	0	0	0	0	0	0
gene19	7748	6236	3291	5087	5676	5273	6175	3195	4300	7613	4628	21028
gene20	0	0	0	0	0	0	0	0	0	0	0	0
gene21	0	3	2	1	0	1	1	2	0	3	1	4
gene22	5567	4793	2009	3050	4355	4642	3760	2023	2572	4923	1922	9614
gene23	3067	2648	1532	2408	2715	2242	2540	1330	1149	2419	1543	6355
gene24	153	117	63	92	89	108	110	66	76	199	73	419
gene25	74	23	13	43	26	25	31	17	20	26	24	95
gene26	5023	4377	2165	3108	4011	4114	4029	2031	1953	4008	2264	9442
gene27	5755	5065	2348	3551	4229	4600	4529	2265	2690	5754	3412	14005
gene28	2023	1602	852	1310	1568	1322	1444	754	1092	1907	1277	5032
gene29	1105	817	578	655	1127	991	1024	634	296	640	463	1408
gene30	45	22	20	24	35	18	22	33	19	43	22	131
gene31	918	943	433	602	633	740	777	434	349	886	487	2118
gene32	3374	2568	1099	1497	2591	1844	1650	937	2142	2796	1527	5628
gene33	1523	1341	600	1056	1278	1243	1185	655	608	1374	708	3355
gene34	870	906	457	817	731	762	706	462	393	888	497	2312
gene35	1	1	2	2	6	5	3	0	1	2	5	15
gene36	5	5	1	2	11	5	1	0	1	3	1	2
gene37	2450	2107	1122	1825	2057	1664	1622	1193	958	1969	1140	5073
gene38	0	0	0	0	0	0	0	1	0	0	0	0
gene39	0	0	0	0	0	0	0	0	0	0	0	0
gene40	0	0	0	0	0	0	0	0	0	1	0	0
gene41	673	495	386	551	561	394	669	350	271	436	368	1596
gene42	340	245	144	186	262	205	243	108	274	484	232	1129
gene43	5581	4686	3001	3892	4650	4125	4332	2562	2891	5558	3551	13786
gene44	2	5	0	2	6	7	4	3	0	10	3	3
gene45	953	618	445	651	776	481	621	388	641	760	686	2669
gene46	288	203	133	170	249	155	221	102	217	263	199	868
gene47	21076	17584	11651	17286	16907	14526	17477	10447	9307	17055	12913	53376
gene48	2210	1727	1154	1822	1708	1482	1738	1079	948	1648	1351	5527
gene49	0	0	2	0	0	0	0	1	0	0	0	2
gene50	142	70	37	65	97	80	87	32	70	99	71	312
gene51	37	23	29	41	29	10	39	27	21	13	28	144
gene52	4831	3518	2258	3395	5283	3574	4528	2735	1937	3461	2470	11616
gene53	0	0	1	0	1	0	0	0	2	3	0	0
gene54	10	17	4	17	18	39	25	20	10	19	8	33
gene55	1679	1112	701	1020	2043	1074	1791	909	1715	2092	1366	6452
gene56	266	244	96	135	332	234	226	137	292	430	144	807
gene57	6	9	0	3	1	0	0	0	3	7	1	5
gene58	201	266	137	149	82	31	42	41	216	208	179	925
gene59	104	154	46	131	39	29	33	23	127	123	99	471
gene60	341	430	144	221	127	72	87	38	372	344	242	1238
gene61	0	0	0	0	0	0	0	0	0	0	0	0
gene62	4799	4359	2149	3217	4032	3481	3138	2091	2740	5538	2977	13897
gene63	50	48	17	38	42	48	44	25	41	86	64	202
gene64	3072	2475	1418	2197	2586	2081	2244	1251	1955	3158	2072	9348
gene65	0	2	0	1	0	3	0	0	0	1	0	0
gene66	2	0	0	0	0	0	0	0	0	0	0	2
gene67	8	1	4	4	1	0	0	3	0	2	3	13
gene68	4700	3818	2542	3584	3986	3218	3918	2443	1774	3319	2534	9735
gene69	0	0	0	2	0	0	0	0	0	0	0	0
gene70	18	8	16	23	18	5	20	10	14	9	18	84
gene71	807	485	412	683	646	572	716	647	883	849	936	3327
gene72	0	0	0	0	0	0	0	0	0	0	0	0
gene73	1	0	0	0	0	1	2	0	2	2	0	1
gene74	0	0	0	0	0	0	0	0	0	0	0	0
gene75	0	0	0	0	0	0	0	0	0	0	0	0
gene76	6757	4725	3222	4524	4006	3452	4957	2449	8941	11454	7862	41546
gene77	2302	2035	1234	1869	1967	1821	1896	1213	1155	2257	1578	6277
gene78	602	314	171	300	475	228	359	201	542	598	443	1613
gene79	4	1	2	1	0	2	1	2	0	5	4	10
gene80	0	0	0	0	0	0	0	0	0	0	0	0
gene81	0	0	0	0	0	0	0	0	0	0	0	0
gene82	0	0	0	0	0	0	4	2	0	1	0	3
gene83	0	0	0	0	0	1	0	1	0	1	0	1
gene84	12	8	7	9	9	9	9	0	5	20	15	35
gene85	3228	2882	1888	2874	2760	2600	2930	1708	1422	2920	2194	8930
gene86	757	822	467	626	789	1089	921	538	240	537	385	1331
gene87	603	398	200	361	515	317	362	263	154	209	163	723
gene88	0	0	0	0	0	0	0	0	0	0	0	0
gene89	42	62	29	36	40	66	29	18	36	62	31	99
gene90	0	0	0	0	0	0	0	0	0	0	0	0
gene91	0	1	0	0	0	0	0	0	0	0	0	0
gene92	59	87	50	48	45	88	108	43	6	40	17	83
gene93	6	60	32	34	28	38	53	24	24	79	33	144
gene94	0	11	0	0	0	0	0	0	0	0	0	2
gene95	592	320	278	445	481	235	371	294	312	420	423	1845
gene96	8787	7705	4914	7099	7551	6354	7256	4344	4636	8391	6116	23254
gene97	2355	2216	1710	2344	2069	1850	2578	1415	1168	2334	1867	7637
gene98	63	62	40	42	28	32	41	25	61	78	56	239
gene99	0	1	0	0	0	0	0	0	0	0	0	0
gene100	2	5	1	1	2	0	0	0	1	0	2	1
gene101	0	0	0	0	0	0	0	0	0	0	0	3
gene102	10	17	6	14	4	12	5	0	9	25	18	61
gene103	0	4	3	3	2	2	3	1	2	11	2	19
gene104	0	0	0	0	0	0	0	0	0	0	0	0
gene105	216	212	122	135	156	130	168	98	364	573	323	1564
gene106	1341	1179	644	779	1107	960	968	492	772	1593	937	3189
gene107	996	854	596	822	777	713	899	455	573	950	741	3229
gene108	351	333	225	272	244	291	293	139	198	478	260	1077
gene109	4017	3402	2307	3046	3227	2693	3256	1950	1917	3872	2935	10817
gene110	1912	1502	1081	1698	1415	1240	1511	960	1093	1694	1432	5770
gene111	1778	1391	723	986	1527	1019	894	647	990	1507	1007	3585
gene112	268	206	148	149	180	153	203	77	253	319	289	954
gene113	1726	1563	817	1070	1463	1287	1113	678	940	1934	1201	3855
gene114	0	0	0	0	1	0	0	0	2	0	0	1
gene115	649	419	275	288	697	366	426	234	247	231	225	481
gene116	716	404	285	392	1309	734	895	490	40	38	27	54
gene117	0	0	1	0	0	2	1	0	0	0	0	0
gene118	0	0	0	0	0	0	0	0	0	0	0	0
gene119	954	689	480	623	752	560	768	376	862	1043	866	3134
gene120	3024	2195	1712	2698	2370	1769	2486	1642	1170	2006	1728	7709
gene121	450	221	161	238	362	139	226	156	289	205	205	875
gene122	4701	3371	1823	2767	3636	2756	2642	1738	1902	3309	2008	7832
gene123	833	646	448	605	689	530	602	441	510	687	519	2006
gene124	34	14	8	26	15	12	18	20	15	4	13	53
gene125	1407	1162	769	1259	1225	822	1163	670	775	1345	1188	4595
gene126	3434	2119	1463	2221	3010	1835	2666	1786	1054	1635	1326	5469
gene127	1	0	0	0	0	0	0	0	0	0	0	0
gene128	3	0	0	0	0	1	1	0	0	1	2	1
gene129	0	0	1	0	1	0	0	2	0	0	0	0
gene130	2234	2531	1316	1433	1475	1731	1791	810	2439	5370	3083	11344
gene131	0	0	0	0	0	0	0	0	0	0	2	0
gene132	3064	3190	1829	2457	2806	2517	2391	1479	1049	2461	1534	5551
gene133	3322	1969	1206	1671	3044	1759	1648	1170	1399	1949	1517	5243
gene134	380	285	167	273	327	223	310	183	252	413	326	1370
gene135	1	5	2	3	5	1	4	1	0	2	6	9
gene136	124	68	42	58	79	91	78	34	85	134	114	323
gene137	1323	717	562	991	1117	543	837	565	694	816	775	3480
gene138	594	532	275	318	569	501	633	333	932	1098	670	2883
gene139	19	6	8	6	4	0	2	3	30	26	17	117
gene140	1786	1690	1062	1841	1539	1253	1375	883	570	1069	917	4627
gene141	0	0	1	0	0	0	0	0	0	0	0	0
gene142	85	56	46	65	14	13	25	12	20	27	34	102
gene143	3647	3699	1695	2900	1990	2473	2107	1384	1780	3682	2363	8019
gene144	98	106	50	57	48	44	61	37	215	259	100	773
gene145	130	180	47	73	50	47	40	23	68	131	71	218
gene146	80	68	41	69	32	18	46	13	42	60	64	201
gene147	1	0	1	1	0	2	3	1	0	1	0	1
gene148	260	155	68	130	252	189	141	128	147	152	115	449
gene149	3390	2968	1744	2462	2194	1534	1704	1141	638	1463	998	3807
gene150	26	17	13	19	10	11	18	5	12	50	21	136
gene151	35	32	9	12	4	38	15	9	13	57	31	62
gene152	609	748	391	682	169	212	213	127	341	980	548	2863
gene153	8	3	4	1	8	1	5	1	32	1	4	52
gene154	3	2	1	1	3	0	5	1	1	0	1	3
gene155	2492	2037	1003	1214	2111	1783	1364	870	932	1957	955	3896
gene156	7	3	0	10	5	2	2	3	3	6	7	32
gene157	438	337	159	249	120	86	123	74	141	142	100	515
gene158	209	252	129	155	133	124	170	64	77	166	98	336
gene159	0	0	0	0	0	0	0	0	0	0	0	0
gene160	1387	1069	479	695	950	796	589	381	1114	1544	704	2816
gene161	12	19	0	1	6	8	2	3	8	15	1	7
gene162	694	545	258	394	503	492	414	246	385	743	360	1571
gene163	2655	2136	1252	1713	2008	1735	1865	1178	1468	2487	1941	7067
gene164	2647	2006	1309	1746	2451	1761	2030	1210	1062	1560	1223	4533
gene165	1180	796	418	663	831	735	566	386	622	954	585	2327
gene166	15	6	5	5	8	9	12	5	7	4	7	31
gene167	2	3	3	4	5	1	2	2	2	0	0	4
gene168	356	274	181	255	325	226	270	177	293	326	308	1021
gene169	10	12	6	19	12	20	10	8	7	35	13	64
gene170	53	40	39	23	40	20	19	5	57	123	110	236
gene171	153	117	62	69	131	108	70	27	92	186	91	258
gene172	511	402	239	258	727	482	507	238	398	689	374	1263
gene173	2943	2415	1467	2132	2417	2086	2456	1404	1581	2858	2018	7840
gene174	4024	3239	2666	3567	3598	3007	3627	2241	1440	2970	2350	8469
gene175	9200	8103	4644	6592	7863	6921	6826	4117	4269	8528	5127	21000
gene176	705	626	321	467	550	454	423	279	296	416	333	1361
gene177	171	852	60	67	155	126	89	38	173	408	279	1702
gene178	0	0	0	0	2	2	1	0	2	2	1	9
gene179	2124	948	623	879	1855	822	875	607	894	942	775	2832
gene180	10	4	5	7	8	10	4	3	1	19	2	11
gene181	0	0	1	0	1	0	0	0	0	0	0	3
gene182	9	9	5	6	12	1	13	0	9	16	9	43
gene183	1981	1050	435	572	1453	834	710	378	1136	1282	742	2401
gene184	5232	2715	1904	3506	3246	1950	2911	1979	3460	3522	3406	15350
gene185	2128	2022	1103	1283	1545	1432	1319	761	1172	2383	1556	4934
