Geneid	583FL	583HL	583K	595FL	595HL	595K	707FL	707HL	707K	710FL	710HL
DNOV00000586	860	413	308	551	341	226	1007	335	347	436	517
DNOV00000587	1304	665	953	900	479	632	1745	515	741	827	495
DNOV00000588	8339	180	4395	9942	355	1805	5799	1331	1075	3295	80
DNOV00000589	12527	7896	13369	9356	5252	7732	14741	7258	9074	10095	4216
DNOV00000590	195	115	202	150	97	114	276	154	165	199	81
DNOV00000591	1746	2786	1058	1030	1916	941	3628	2658	1792	1460	2203
DNOV00000592	1	7	0	1	7	3	7	3	1	0	1
DNOV00000593	562	606	562	349	337	230	699	471	348	345	295
DNOV00000594	1244	1538	793	681	977	634	1649	1011	849	700	862
DNOV00000595	34	41	26	13	22	13	27	7	17	10	9
DNOV00000596	794	1020	554	498	711	479	1131	699	543	532	630
DNOV00000597	530	637	428	238	314	260	721	463	428	257	323
DNOV00000598	1512	1874	993	931	1244	974	3220	1913	1627	995	1292
DNOV00000599	17	2	3	0	0	0	2	0	0	0	0
DNOV00000600	168	184	112	117	72	63	168	109	94	58	89
DNOV00000601	1177	1460	797	670	919	596	1851	1202	929	770	1026
DNOV00000602	763	1345	482	389	647	366	915	736	476	283	570
DNOV00000603	1165	1642	908	699	965	641	1740	1210	853	653	814
DNOV00000604	126	154	118	88	136	100	231	177	153	102	116
DNOV00000605	2861	3370	1975	1864	2053	1629	4180	2425	2097	1691	1782
DNOV00000606	0	1	2	0	0	0	1	0	0	1	1
DNOV00000607	865	1162	508	480	673	410	1251	768	601	461	594
DNOV00000608	4419	2865	4456	1887	2122	2155	5697	3544	3868	2685	5147
DNOV00000609	6	14	6	5	7	4	21	8	6	2	4
DNOV00000610	3979	4508	2139	2032	2435	1537	4653	2272	2198	1628	1730
DNOV00000611	17	28	13	12	10	11	20	10	9	4	4
DNOV00000612	0	0	0	0	0	0	0	1	0	0	0
DNOV00000613	4	4	6	5	8	1	17	5	5	1	1
DNOV00000614	294	266	161	230	215	128	485	313	221	256	265
DNOV00000615	1389	759	783	1113	425	590	2827	889	869	1293	358
DNOV00000616	1	1	0	0	0	0	10	1	1	3	1
DNOV00000617	510	27	60	191	9	32	595	17	57	262	16
DNOV00000618	167	12	20	74	1	12	221	7	23	119	5
DNOV00000619	1401	2050	995	903	1352	955	2128	1374	1139	865	971
DNOV00000620	296	176	275	164	175	227	390	143	234	157	129
DNOV00000621	4	4	5	16	13	8	15	10	8	5	3
DNOV00000622	448	512	364	275	422	301	600	313	260	200	255
DNOV00000623	1696	795	1100	1394	632	924	2420	816	1011	1117	902
DNOV00000624	0	0	0	0	0	0	0	0	0	0	0
DNOV00000625	1058	1329	788	968	1384	915	2392	1476	1086	1189	1645
DNOV00000626	997	1282	788	552	816	586	1505	1095	747	711	1018
DNOV00000627	0	1	0	0	0	0	1	0	0	1	0
DNOV00000628	672	902	416	422	632	373	520	402	329	195	272
DNOV00000629	1662	2766	801	591	1022	571	1480	1083	742	528	579
DNOV00000630	12729	15900	8710	7777	9979	7196	22410	14173	11189	8572	10664
DNOV00000631	236	204	119	109	114	73	232	88	100	74	78
DNOV00000632	8	12	6	7	21	7	34	17	10	5	11
DNOV00000633	20643	34700	12445	13016	22415	11417	39807	29025	19601	17987	24474
DNOV00000634	7177	11124	4860	4318	6330	3604	11360	8238	5895	5424	7370
DNOV00000635	544	949	310	172	337	172	660	558	353	187	302
DNOV00000636	0	0	0	0	0	0	0	0	0	0	0
DNOV00000637	128	211	69	68	80	50	176	84	99	76	53
DNOV00000638	29	21	21	19	15	11	49	8	18	22	16
DNOV00000639	853	1237	550	583	816	509	1074	788	544	415	602
DNOV00000640	151	210	95	78	135	73	291	198	123	120	155
DNOV00000641	401	650	266	203	324	180	478	316	225	190	311
DNOV00000642	573	543	587	320	247	330	972	411	518	334	354
DNOV00000643	877	1343	501	376	533	353	953	622	441	346	425
DNOV00000644	122	120	75	72	79	58	188	93	94	61	55
DNOV00000645	346	325	189	179	239	168	432	239	244	120	159
DNOV00000646	12877	19048	8505	7590	10933	6330	20658	15041	10991	8589	11332
DNOV00000647	1585	1841	1288	1098	1344	1025	3280	1916	1707	1180	1603
DNOV00000648	863	1286	602	551	749	528	1464	909	757	647	794
