geneName droNov galGal
EFTUD2 DNOV00012874 428281
EEF2 DNOV00013038 396325
NRP1 DNOV00008261 395560
CCR8 DNOV00019035 420718
AIDA DNOV00001229 421335
ERC1 DNOV00004373 418153
EPB41L1 DNOV00007006 419117
SOX14 DNOV00010803 395526
RAPGEF2 DNOV00010368 422418
GNAO1 DNOV00016244 415698
LOC426324 DNOV00017838 426324
PLXND1 DNOV00012478 416124
PLXNB2 DNOV00008929 425938
PLXNA2 DNOV00000254 419857
YWHAH DNOV00001386 416955
NACA DNOV00016736 396544
NACAD DNOV00016067 420409
XPO7 DNOV00005189 426925
LOC770265 DNOV00006051 770265
LOC101751927 DNOV00011348 101751927
TAOK3 DNOV00001337 395499
SLC12A2 DNOV00009580 427123
SLC12A1 DNOV00008834 415433
B3GNT7 DNOV00009712 424930
CDX1 DNOV00002657 395397
ENDOU DNOV00016692 100858035
ATP6V0D1 DNOV00007524 415674
DUSP1 DNOV00002679 374192
NIN DNOV00009998 428928
PAQR5 DNOV00015438 427516
FMNL2 DNOV00015892 771739
FMNL1 DNOV00012863 419965
SAMD12 DNOV00007826 420282
HNRNPA3 DNOV00018522 424136
LOC100859627 DNOV00000015 100859627
SLC5A9 DNOV00005894 424625
GRIN3A DNOV00017164 769001
ARNTL DNOV00003101 374115
HIF1A DNOV00010235 374177
SIM2 DNOV00007337 418515
SIM1 DNOV00014033 396129
SLC6A13 DNOV00004366 418147
SLC6A11 DNOV00015233 415959
ARHGAP17 DNOV00008714 416564
CKB DNOV00005526 396248
PDZK1 DNOV00012181 418460
SLC9A3R2 DNOV00005330 416550
FSTL5 DNOV00010369 428726
SPTBN5 DNOV00001068 423225
LARP1 DNOV00005630 416258
LLGL1 DNOV00005284 100858027
LLGL2 DNOV00000443 422127
SIX3 DNOV00011035 378786
VIPR1 DNOV00002456 395329
ADCYAP1R1 DNOV00002458 420386
OASL DNOV00013295 395908
FAM102B DNOV00010445 768922
KCNQ1 DNOV00006463 423090
C1GALT1 DNOV00013165 420575
DNAJA3 DNOV00010689 416671
SCAMP4 DNOV00013512 420081
MSRA DNOV00013574 422027
ARVCF DNOV00012998 395119
CD5 DNOV00007879 395757
ZNF395 DNOV00013586 422017
ITGA4 DNOV00017529 424121
DOCK11 DNOV00001579 422229
DNTT DNOV00006561 396351
NDUFA4 DNOV00003853 772135
GDPD4 DNOV00011955 419084
EGFL7 DNOV00003481 417137
ADAM15 DNOV00017274 419050
GRB10 DNOV00014563 420948
PHACTR4 DNOV00009847 425087
PHACTR1 DNOV00015272 395093
HSPG2 DNOV00018116 429806
EGFLAM DNOV00012731 427445
AFF2 DNOV00016593 422394
LOC426023 DNOV00018502 426023
SLC16A1 DNOV00000220 419875
MMP16 DNOV00005031 396116
LOC101747278 DNOV00017765 101747278
TFAP2B DNOV00011077 395713
IL1RAPL1 DNOV00016865 427993
FAM78B DNOV00006269 769830
FAM78A DNOV00006741 771980
PTPRVP DNOV00007259 421174
CDK9 DNOV00003194 417226
TPD52L2 DNOV00006552 419257
MCL1 DNOV00018498 395674
FAM125B DNOV00011751 417092
ASXL2 DNOV00016785 421993
ASXL1 DNOV00009049 428158
SUV39H2 DNOV00004850 426314
INPP5A DNOV00008453 423973
FUT5 DNOV00013043 428341
LRRIQ4 DNOV00007101 424995
FLII DNOV00005285 416515
ENOX2 DNOV00014119 422142
VWF DNOV00015641 419031
OTOG DNOV00003028 423075
PIN4 DNOV00013013 422134
PIN1 DNOV00012523 100859153
NFATC3 DNOV00011426 415711
NFATC2 DNOV00013860 419346
ENAH DNOV00001250 374180
SPRED1 DNOV00013329 423292
DHX15 DNOV00011284 422813
DHX33 DNOV00001714 417499
DHX35 DNOV00008516 419172
COMMD2 DNOV00013729 425044
DOCK8 DNOV00012959 427348
DOCK7 DNOV00016107 424687
RASSF3 DNOV00010898 417828
LOC100857563 DNOV00002885 100857563
HIST1H2B5L DNOV00009544 429558
PINX1 DNOV00013569 422028
FAM166A DNOV00003255 771210
MYT1 DNOV00006537 419249
ST18 DNOV00012616 421115
HK1 DNOV00012650 373889
HK2 DNOV00014072 374044
BMI1 DNOV00000890 493647
H6PD DNOV00004639 428188
CUL4A DNOV00009744 418744
CUL4B DNOV00008895 422364
CUL3 DNOV00001866 424804
PLA2G5 DNOV00013924 771655
POLA1 DNOV00015652 418593
ANKRD47 DNOV00008218 428321
SLAIN2 DNOV00002071 422766
SLAIN1 DNOV00008113 418807
OBFC2A DNOV00000614 424046
LOC428714 DNOV00005756 428714
TTLL9 DNOV00009040 771843
TTLL1 DNOV00004884 418225
SLC20A2 DNOV00016409 422493
SLC20A1 DNOV00017123 426250
YPEL2 DNOV00006175 417632
C14ORF39 DNOV00010226 423524
CLCN5 DNOV00014123 422285
CLCN2 DNOV00006045 425295
SLC7A6 DNOV00011435 415622
INPP5K DNOV00007399 771549
MFSD7 DNOV00014364 769710
CPB1 DNOV00010656 424888
ATP8B3 DNOV00013518 428328
ATP8B2 DNOV00018412 770035
LOC431656 DNOV00014650 431656
ATP11B DNOV00006029 424964
ATP8A1 DNOV00002051 422776
RFC5 DNOV00001310 100859719
MAGI3 DNOV00000217 419877
CLIP4 DNOV00001283 428556
EIF4B DNOV00017380 100858349
KCNJ6 DNOV00007328 427983
DOCK4 DNOV00010174 417779
IFT81 DNOV00000834 416839
ZBTB26 DNOV00011776 417107
PDCD1LG2 DNOV00012160 427225
ICOSLG DNOV00010876 395968
LOC100857668 DNOV00015502 100857668
LOC100858799 DNOV00014651 100858799
LOC430487 DNOV00013523 430487
NRG2 DNOV00012370 427606
MSI1 DNOV00001355 416979
GK DNOV00016869 418589
GK5 DNOV00012980 424779
HEATR5A DNOV00010095 423311
HEATR5B DNOV00005545 421469
PLCH2 DNOV00006096 428180
APBA3 DNOV00008232 420069
ZBTB24 DNOV00006632 421763
NACC2 DNOV00003467 417128
ANXA8 DNOV00015471 423774
LOC772393 DNOV00014070 772393
ANXA5 DNOV00011252 428767
ANXA7 DNOV00007034 423747
MITF DNOV00005132 395886
MGLL DNOV00007658 416024
BARX2 DNOV00012667 395714
NCOR1 DNOV00006140 417598
COX10 DNOV00007159 417329
ZSWIM5 DNOV00005945 424591
LOC101749286 DNOV00010145 101749286
ZC3H7B DNOV00002578 417996
ZC3H7A DNOV00002257 416426
HELZ2 DNOV00016706 419265
ZNF638 DNOV00017071 395593
NELL2 DNOV00010146 417799
HMGB1 DNOV00004139 395724
KCNN2 DNOV00015928 395579
LOC425347 DNOV00014394 425347
MARCO DNOV00012682 395488
DBC1 DNOV00003214 395098
FAM5C DNOV00002116 429077
LOC416086 DNOV00005116 416086
LOC395159 DNOV00003859 395159
PTGFRN DNOV00012194 418449
PID1 DNOV00001887 424787
KCTD17 DNOV00004338 418047
KCTD2 DNOV00000460 422116
ITPK1 DNOV00006191 423421
DIP2C DNOV00010063 420456
DIP2A DNOV00010996 771400
NCOA5 DNOV00014160 419304
RPF1 DNOV00004204 424539
ATM DNOV00012462 395401
ATR DNOV00012982 424777
TUBB1 DNOV00015294 396427
GPR157 DNOV00004636 419439
PDS5A DNOV00002034 422787
PDS5B DNOV00004123 418910
GDI2 DNOV00015738 395854
MAP2K4 DNOV00007193 417312
MAP2K3 DNOV00005264 416496
LOC430931 DNOV00018969 430931
LOC100859120 DNOV00016390 100859120
CPLX3 DNOV00002904 769798
CPLX4 DNOV00014397 769026
LOC429847 DNOV00016830 429847
NKAIN2 DNOV00003946 421720
NKAIN3 DNOV00017864 421143
NKAIN4 DNOV00006525 419240
DCBLD1 DNOV00012834 421734
OXT DNOV00010572 768516
KCNA3 DNOV00000398 404303
FREM1 DNOV00005729 427355
CRISP2 DNOV00011074 422045
LOC428667 DNOV00011073 428667
COL15A1 DNOV00015986 420803
LOC100858122 DNOV00018060 100858122
KCNH7 DNOV00000108 424184
NAA20 DNOV00015482 424333
ZCCHC6 DNOV00004513 100857368
LOC101747662 DNOV00006507 101747662
IL11RA DNOV00014663 693251
BLK DNOV00017107 422035
PAPOLA DNOV00005474 395878
PAPOLG DNOV00001182 100857196
ACSBG2 DNOV00013052 420090
ACSF3 DNOV00014739 427561
KLHL17 DNOV00010624 419432
KLHL20 DNOV00002215 425091
KLHL8 DNOV00012228 422589
KLHL5 DNOV00002025 425121
KLHL1 DNOV00008137 418799
KLHL4 DNOV00015787 422265
ZC3H11A DNOV00000311 421172
GNA12 DNOV00001993 769924
PARP16 DNOV00006793 415534
PRPSAP1 DNOV00013638 417360
PRPS1 DNOV00001636 422185
ERP27 DNOV00016996 417942
ARHGEF26 DNOV00009921 429163
TRA2A DNOV00006835 420618
SACM1L DNOV00008168 420700
QPCT DNOV00005560 421479
FGL1 DNOV00014845 422728
TOMM70A DNOV00003806 418387
SLC45A4 DNOV00005856 420308
PHLDB1 DNOV00013941 419790
ACSBG1 DNOV00014698 415361
RPS6KA1 DNOV00001432 386579
RPS6KB1 DNOV00016730 417637
LOC429557 DNOV00007852 429557
NCF1 DNOV00001691 417485
CCDC177 DNOV00001139 101748318
LRRC16A DNOV00009193 421002
PANX2 DNOV00008919 426934
AEN DNOV00004783 415496
TBX3 DNOV00001324 374202
CCNI DNOV00011683 422634
KIAA1324L DNOV00004855 418645
VAMP3 DNOV00014971 419368
VAMP1 DNOV00012068 418273
VTI1B DNOV00001156 423273
TSPAN13 DNOV00003881 420595
C2H6ORF105 DNOV00015267 771464
RARB DNOV00016364 396266
ACCN2 DNOV00014936 426883
LOC418189 DNOV00010544 418189
SLCO1B1 DNOV00010545 418187
SLCO2B1 DNOV00017272 419051
SLCO2A1 DNOV00013566 424862
SLCO4C1 DNOV00017885 769132
DGKQ DNOV00012950 427381
DGKB DNOV00003868 772367
KDM3A DNOV00006383 422917
KDM3B DNOV00003023 100859412
YSK4 DNOV00014417 429048
MAP3K1 DNOV00010130 427144
NAPB DNOV00003578 421231
LOC100858304 DNOV00017261 100858304
VNN1 DNOV00002395 421702
LOC769174 DNOV00018122 769174
VCL DNOV00007016 396422
CTNNA1 DNOV00011883 416184
CTNNA2 DNOV00010585 396035
MTUS1 DNOV00014844 422729
MTUS2 DNOV00004145 418923
DSN1 DNOV00012516 426088
NELF DNOV00003263 417260
SERPINA4 DNOV00017722 423433
SERPINB6 DNOV00008634 420895
SERPINE3 DNOV00003659 418875
GLRA1 DNOV00005641 427637
LOC430067 DNOV00015911 430067
DNM1 DNOV00009512 417217
DNM1L DNOV00006356 418132
MYRIP DNOV00008146 428455
FBXW11 DNOV00011880 416181
LOC419074 DNOV00017152 419074
SUMO2 DNOV00000455 770125
ARHGEF37 DNOV00002664 416149
LOC101752214 DNOV00015713 101752214
LOC427201 DNOV00002743 427201
AKAP13 DNOV00015715 415502
SDR16C5 DNOV00018313 421130
TXNDC5 DNOV00008676 420867
PDIA4 DNOV00014438 420785
DNAJC10 DNOV00015994 424115
STXBP1 DNOV00003237 404293
LOC101751263 DNOV00018552 101751263
LOC428335 DNOV00008989 428335
LOC101749113 DNOV00017863 101749113
VWA1 DNOV00017580 419413
COL14A1 DNOV00007815 396276
RAF1 DNOV00011601 396245
BRAF DNOV00006336 396239
IRF2 DNOV00008612 396115
MAP7D2 DNOV00007474 418607
MARK1 DNOV00008011 421342
MARK3 DNOV00005525 423480
MMP7 DNOV00014710 418983
MMP15 DNOV00007562 415629
LOC423919 DNOV00012258 423919
MIPOL1 DNOV00003970 423331
RRBP1 DNOV00010209 396414
KTN1 DNOV00011534 396335
PNPLA1 DNOV00000396 428259
DNAH12 DNOV00007593 416004
DNAH3 DNOV00001896 427004
KHDRBS3 DNOV00005838 420317
KHDRBS1 DNOV00001528 374071
MYO7A DNOV00011956 419085
MYO15L DNOV00000441 417377
MYO15A DNOV00005283 101750031
ATXN2 DNOV00000799 416877
SEMA7A DNOV00002893 415298
CYP11A1 DNOV00002892 414838
MAN1C1 DNOV00001456 419588
CD200 DNOV00011388 418425
FTH1 DNOV00015026 395970
UBR2 DNOV00010290 421387
UBR1 DNOV00001100 423242
LOC100857191 DNOV00014661 100857191
ARHGAP20 DNOV00017327 418962
MYL1 DNOV00000726 396470
LOC395933 DNOV00004478 395933
IGFN1 DNOV00007281 771410
HSF2 DNOV00003957 421724
HSF4 DNOV00011444 427540
LOC428586 DNOV00004424 428586
MAP3K12 DNOV00018758 101750914
MAP3K13 DNOV00010791 424876
LOC100859383 DNOV00010673 100859383
LOC100858227 DNOV00017612 100858227
WDR64 DNOV00005595 428581
ADCK3 DNOV00001265 416745
KDM5A DNOV00004367 418148
DUSP13 DNOV00005334 423732
ABLIM2 DNOV00003429 422866
RNF13 DNOV00013731 396303
DMRT3 DNOV00012962 431641
SLC2A9 DNOV00003398 422843
ADORA3 DNOV00000238 373956
GREB1 DNOV00007426 421944
GREB1L DNOV00005438 421064
SCARB2 DNOV00011672 422638
ZNF385B DNOV00015283 424124
GNB1 DNOV00006083 419402
SLC35B1 DNOV00010485 395185
KCNAB2 DNOV00006122 396068
KCNAB1 DNOV00009913 395730
PDZD2 DNOV00010846 427421
MPDZ DNOV00005737 427360
INADL DNOV00016104 424682
DPYSL4 DNOV00008447 374022
DPYSL3 DNOV00003013 395154
ST6GALNAC2 DNOV00013631 396159
LOC422075 DNOV00017370 422075
KLF4 DNOV00009376 770254
IMPDH2 DNOV00011470 416058
TTBK1 DNOV00010202 416713
TTBK2 DNOV00001098 423241
EHMT1 DNOV00003245 417250
SHANK3 DNOV00016510 101748950
PPP1R9B DNOV00000046 395762
TG DNOV00005830 100857838
SENP1 DNOV00017628 426185
SENP2 DNOV00017454 424864
LCLAT1 DNOV00001276 421303
AGPAT5 DNOV00016174 421898
MYBPH DNOV00007288 421154
NFKBIE DNOV00004961 421438
OGDH DNOV00017118 426429
MXD4 DNOV00006415 422890
XRN2 DNOV00015701 421236
FAM172A DNOV00013804 427109
PNPLA6 DNOV00015824 425396
PNPLA7 DNOV00003265 427774
NPR2 DNOV00016191 100859339
HSPA13 DNOV00012133 418469
HSPH1 DNOV00004131 418917
CNIH3 DNOV00001247 421323
NDST3 DNOV00011275 428769
GFRA4 DNOV00010560 395839
GFRA1 DNOV00012247 395994
RNF126 DNOV00008979 420085
GLRA2 DNOV00017443 772019
GLRA3 DNOV00008583 422568
