geneName	gene	geneID
PODXL	DNOV00004803	gene61
ATP5C1	DNOV00004817	gene78
DUS4L	DNOV00009570	gene164
NAA38	DNOV00013366	gene242
FOXP2	DNOV00013382	gene258
IMMP2L	DNOV00010172	gene270
USP15	DNOV00010883	gene307
CAND1	DNOV00010913	gene329
KITLG	DNOV00015959	gene404
NUDT4	DNOV00008402	gene418
CDK17	DNOV00008373	gene441
IKBIP	DNOV00008362	gene448
APAF1	DNOV00008361	gene449
TMEM140	DNOV00016992	gene468
LGALS2	DNOV00013237	gene632
MPST	DNOV00004337	gene644
IFT27	DNOV00004331	gene650
SYN3	DNOV00004307	gene668
DRAM1	DNOV00006304	gene719
HIPK2	DNOV00006314	gene728
AKR1D1	DNOV00006322	gene734
PTN	DNOV00006346	gene756
AMN1	DNOV00004347	gene771
DENND5B	DNOV00004349	gene773
LOC100858230	DNOV00015233	gene786
RAD52	DNOV00004372	gene793
ERC1	DNOV00004374	gene794
KIAA0528	DNOV00010530	gene852
GYS2	DNOV00010522	gene861
PACSIN2	DNOV00004883	gene887
PARVG	DNOV00004897	gene900
WNT7B	DNOV00004914	gene912
KLHDC5	DNOV00015628	gene936
PTHLH	DNOV00015629	gene937
NTF3	DNOV00017746	gene951
TEAD4	DNOV00016281	gene964
SYCE3	DNOV00014155	gene1063
DRD3	DNOV00014863	gene1128
LOC418395	DNOV00003797	gene1185
TXNL4B	DNOV00003796	gene1186
RG9MTD1	DNOV00003795	gene1187
LOC418416	DNOV00003766	gene1210
CHODL	DNOV00012121	gene1298
ATP5J	DNOV00016417	gene1305
N6AMT1	DNOV00012267	gene1311
TMEM50B	DNOV00013752	gene1344
PIGP	DNOV00007334	gene1374
ABCG1	DNOV00010850	gene1406
PDE9A	DNOV00010856	gene1412
NDUFV3	DNOV00010858	gene1414
NDP	DNOV00017998	gene1441
USP9X	DNOV00016220	gene1449
BCOR	DNOV00015243	gene1453
GK	DNOV00016869	gene1476
KLHL15	DNOV00015645	gene1490
PRDX4	DNOV00015642	gene1494
SMPX	DNOV00007468	gene1499
CNKSR2	DNOV00007470	gene1501
ASMTL	DNOV00017296	gene1583
TXNDC9	DNOV00003143	gene1631
IL1RL1	DNOV00003164	gene1653
MRPS9	DNOV00003176	gene1660
C1H2orf40	DNOV00003182	gene1666
ARHGEF7	DNOV00017957	gene1717
A2LD1	DNOV00014201	gene1746
MBNL2	DNOV00011222	gene1763
RNF219	DNOV00008110	gene1794
LOC418811	DNOV00008119	gene1803
PCDH9	DNOV00018586	gene1822
GTF2F2	DNOV00003612	gene1860
ESD	DNOV00003633	gene1875
TRIM13	DNOV00003650	gene1897
THSD1	DNOV00003672	gene1916
PROSER1	DNOV00003681	gene1926
RPL21	DNOV00004159	gene1979
ELMOD1	DNOV00012455	gene2036
GRIA4	DNOV00012443	gene2046
TRPC6	DNOV00006968	gene2066
CWC15	DNOV00006947	gene2079
ANKRD49	DNOV00006942	gene2082
TMEM135	DNOV00014958	gene2111
PRSS23	DNOV00014956	gene2114
C1H11orf67	DNOV00011950	gene2145
AQP11	DNOV00011953	gene2148
KCNE3	DNOV00017269	gene2240
RARRES2	DNOV00017248	gene2292
GUK1	DNOV00002435	gene2340
LOC100858219	DNOV00002434	gene2341
GIMAP5	DNOV00017245	gene2371
RBM33	DNOV00010045	gene2417
ZMYND11	DNOV00010062	gene2434
SSNA1	DNOV00008278	gene2467
ABI1	DNOV00008289	gene2478
ENKUR	DNOV00016122	gene2487
CROT	DNOV00000944	gene2533
DBF4	DNOV00000948	gene2538
SGCE	DNOV00000995	gene2583
DYNC1I1	DNOV00013175	gene2588
LOC420579	DNOV00013159	gene2602
LOC100859078	DNOV00006862	gene2708
CMC1	DNOV00017337	gene2759
METTL6	DNOV00001011	gene2795
UBP1	DNOV00013472	gene2857
STARD3NL	DNOV00013525	gene2869
KIAA0895	DNOV00013536	gene2879
POU6F2	DNOV00012888	gene2917
YAE1D1	DNOV00012889	gene2919
C2H7orf11	DNOV00012894	gene2923
EZH2	DNOV00014439	gene2947
TPPP	DNOV00018776	gene2966
TBC1D7	DNOV00015274	gene3030
DSP	DNOV00008672	gene3060
ECI2	DNOV00008655	gene3074
CMBL	DNOV00015058	gene3151
FIGNL1	DNOV00014561	gene3173
DDC	DNOV00014562	gene3174
PTPN3	DNOV00014723	gene3195
NDUFS6	DNOV00014823	gene3212
ELP2	DNOV00017795	gene3221
PDCD6	DNOV00014404	gene3229
USP14	DNOV00005440	gene3345
LOC770321	DNOV00012606	gene3423
CA8	DNOV00016657	gene3452
NKAIN3	DNOV00017864	gene3458
ZFAND1	DNOV00015803	gene3541
HRSP12	DNOV00005082	gene3601
ANKRD46	DNOV00007772	gene3615
MED30	DNOV00007829	gene3663
WDYHV1	DNOV00007800	gene3693
KHDRBS3	DNOV00005838	gene3729
TSTA3	DNOV00005886	gene3768
CCDC88A	DNOV00008023	gene3798
SMEK2	DNOV00008021	gene3800
SNRPB2	DNOV00003596	gene3882
EHBP1	DNOV00003542	gene3920
VPS54	DNOV00003537	gene3926
C1D	DNOV00003523	gene3947
BIRC5	DNOV00010216	gene3998
GALM	DNOV00003563	gene4030
MCM8	DNOV00003550	gene4043
C3H1orf95	DNOV00001262	gene4046
RPS6KC1	DNOV00015184	gene4109
KCNG3	DNOV00010281	gene4148
LOC100858021	DNOV00011025	gene4171
LOC421419	DNOV00011009	gene4186
VEGFA	DNOV00004971	gene4220
POLR1C	DNOV00004979	gene4228
LTBP1	DNOV00004991	gene4239
CCDC75	DNOV00005544	gene4253
CEP170	DNOV00005585	gene4293
CAPN9	DNOV00004453	gene4362
TCTE3	DNOV00004470	gene4375
STXBP5	DNOV00015369	gene4437
VIP	DNOV00008794	gene4462
ZDHHC14	DNOV00008812	gene4479
DYNLT1	DNOV00002319	gene4487
ALDH8A1	DNOV00002385	gene4537
MED23	DNOV00002405	gene4559
FAM184A	DNOV00017901	gene4597
NT5DC1	DNOV00012848	gene4625
SCML4	DNOV00006648	gene4665
BEND3	DNOV00006656	gene4668
LYRM2	DNOV00011817	gene4716
ANKRD6	DNOV00011818	gene4717
C3H6orf57	DNOV00013684	gene4796
FAM135A	DNOV00013685	gene4797
HMGCLL1	DNOV00014505	gene4825
FBXO25	DNOV00016586	gene4863
RPS7	DNOV00016378	gene4877
KIDINS220	DNOV00007453	gene4887
GAL2	DNOV00018157	gene5056
PHKA1	DNOV00013020	gene5182
C4HXorf41	DNOV00018773	gene5187
PRPS1	DNOV00001636	gene5190
RAB9B	DNOV00001635	gene5192
BRCC3	DNOV00001614	gene5214
OGT	DNOV00001612	gene5216
LRCH2	DNOV00001591	gene5241
WDR44	DNOV00001580	gene5250
MBNL3	DNOV00001574	gene5256
FAM122B	DNOV00001567	gene5268
MOSPD1	DNOV00001565	gene5270
GABRQ	DNOV00016958	gene5331
PAK3	DNOV00005815	gene5406
GAB3	DNOV00016150	gene5426
STAG2	DNOV00008902	gene5433
GRIA3	DNOV00008899	gene5436
FAM70A	DNOV00008891	gene5443
C4HXorf56	DNOV00008881	gene5452
LOC100858824	DNOV00014612	gene5497
PLRG1	DNOV00010343	gene5500
GRIA2	DNOV00010359	gene5517
FSTL5	DNOV00010369	gene5529
SPOCK3	DNOV00010731	gene5542
ELMOD2	DNOV00009644	gene5576
GAB1	DNOV00009631	gene5584
ARHGAP10	DNOV00016914	gene5604
DCLK2	DNOV00017466	gene5607
GTF2E2	DNOV00016209	gene5644
ASB5	DNOV00008588	gene5740
RASGEF1B	DNOV00017975	gene5759
LIN54	DNOV00012219	gene5777
SLC4A4	DNOV00011657	gene5844
MAD2L1	DNOV00011259	gene5898
AP1AR	DNOV00014916	gene5930
EXOC1	DNOV00002101	gene6025
NMU	DNOV00002099	gene6026
LNX1	DNOV00002088	gene6037
DCUN1D4	DNOV00002078	gene6046
SLAIN2	DNOV00002071	gene6052
GABRA4	DNOV00002060	gene6063
TMEM33	DNOV00002047	gene6079
RBM47	DNOV00002039	gene6087
TMEM156	DNOV00002024	gene6102
SLIT2	DNOV00003364	gene6144
PROM1	DNOV00003377	gene6157
FBXL5	DNOV00003383	gene6162
C1QTNF7	DNOV00003385	gene6164
PPP2R2C	DNOV00003417	gene6194
AFAP1	DNOV00003428	gene6204
HTRA3	DNOV00003431	gene6207
VPS24	DNOV00006382	gene6270
VPS16	DNOV00016969	gene6346
PDDC1	DNOV00013830	gene6365
CPSF7	DNOV00007886	gene6401
DNAJC17	DNOV00016674	gene6448
NAV2	DNOV00010319	gene6484
ANO3	DNOV00012323	gene6495
EIF4G2	DNOV00003085	gene6552
LOC100858792	DNOV00003059	gene6576
KCNC1	DNOV00006433	gene6603
OSBPL5	DNOV00006454	gene6619
LOC423113	DNOV00014631	gene6681
GAL	DNOV00015580	gene6686
TMX2	DNOV00015013	gene6706
ACTBL2	DNOV00012769	gene6744
MADD	DNOV00006686	gene6805
ATG13	DNOV00006673	gene6817
SLC8A3	DNOV00003577	gene6913
GALNTL1	DNOV00001143	gene6922
RASGRP1	DNOV00013327	gene6961
NOVA1	DNOV00017707	gene6979
STRN3	DNOV00010099	gene6992
AP4S1	DNOV00010098	gene6993
HEATR5A	DNOV00010095	gene6995
SRP54	DNOV00010077	gene7012
RALGAPA1	DNOV00010070	gene7018
SLC25A21	DNOV00003969	gene7026
IFT43	DNOV00004021	gene7073
GSTZ1	DNOV00004035	gene7089
TSHR	DNOV00015326	gene7109
FLRT2	DNOV00015315	gene7116
TTC8	DNOV00006222	gene7126
FOXN3	DNOV00006217	gene7127
CDC42BPB	DNOV00005519	gene7234
MARK3	DNOV00005525	gene7243
ZFYVE21	DNOV00005532	gene7251
SNAPC1	DNOV00010236	gene7295
MNAT1	DNOV00010231	gene7301
C5H14orf39	DNOV00010226	gene7307
LOC100859762	DNOV00011552	gene7326
CGRRF1	DNOV00015744	gene7355
KLHDC1	DNOV00009987	gene7368
ERO1L	DNOV00015755	gene7395
GNPNAT1	DNOV00015752	gene7398
PLEKHC1	DNOV00015751	gene7399
C6H10orf58	DNOV00005374	gene7459
A1CF	DNOV00012044	gene7535
P4HA1	DNOV00015574	gene7569
RPS24	DNOV00005350	gene7607
CUEDC2	DNOV00007057	gene7665
SEC31B	DNOV00007062	gene7671
CCNJ	DNOV00006565	gene7753
PI4K2A	DNOV00008340	gene7786
ZDHHC16	DNOV00008334	gene7792
C6H10orf26	DNOV00014575	gene7833
GSTO1	DNOV00007239	gene7855
VTI1A	DNOV00007208	gene7879
SLC18A2	DNOV00012261	gene7909
BAG3	DNOV00015354	gene7929
TFPI	DNOV00000586	gene8022
NCKAP1	DNOV00015992	gene8036
UNC80	DNOV00000722	gene8041
S100B	DNOV00010998	gene8104
KMO	DNOV00010992	gene8108
ADARB1	DNOV00010988	gene8111
LOC424098	DNOV00000957	gene8184
ABI2	DNOV00000710	gene8198
OSBPL6	DNOV00000005	gene8225
DCAF17	DNOV00000059	gene8277
SSB	DNOV00000070	gene8287
G6PC2	DNOV00000081	gene8300
GCG	DNOV00000113	gene8324
STK16	DNOV00000143	gene8355
RALB	DNOV00009472	gene8423
CLASP1	DNOV00009480	gene8427
RAB3GAP1	DNOV00014419	gene8486
ZEB2	DNOV00012949	gene8512
CACNB4	DNOV00015889	gene8532
WDR47	DNOV00010453	gene8577
HSD17B7	DNOV00006249	gene8616
DNM3	DNOV00006277	gene8646
METTL13	DNOV00006279	gene8648
MGST3	DNOV00002219	gene8671
LOC770891	DNOV00002206	gene8686
XPR1	DNOV00002202	gene8690
KIAA0040	DNOV00002167	gene8719
TSEN15	DNOV00002138	gene8744
C8H1orf21	DNOV00002137	gene8745
PTGS2	DNOV00002121	gene8753
COL11A1	DNOV00017214	gene8762
OLFM3	DNOV00009230	gene8766
SNX7	DNOV00009256	gene8789
NEXN	DNOV00016389	gene8884
ST3GAL3	DNOV00008761	gene8909
RNF220	DNOV00008774	gene8919
DMBX1	DNOV00005910	gene8961
LOC771974	DNOV00005904	gene8966
BEND5	DNOV00005890	gene8980
OSBPL9	DNOV00004625	gene8988
ZFYVE9	DNOV00004620	gene8995
SELRC1	DNOV00004612	gene9004
ATG16L1	DNOV00001785	gene9148
LIMS2	DNOV00009718	gene9155
LOC424766	DNOV00001814	gene9173
CLDN15	DNOV00001816	gene9175
CLDN18	DNOV00010802	gene9195
PIGX	DNOV00013559	gene9215
CEP19	DNOV00013558	gene9216
KIF1A	DNOV00011091	gene9232
PLSCR1	DNOV00010666	gene9340
DLG1	DNOV00010651	gene9350
LOC424892	DNOV00010649	gene9352
EIF4E2	DNOV00006067	gene9426
LOC770265	DNOV00006051	gene9444
ECE2	DNOV00006050	gene9445
LOC770345	DNOV00006046	gene9449
